Park,Name,Average_Wait
Ferrari Land,Red Force,24.0
Phantasialand,Winjas,13.0
Phantasialand,Taron,22.0
Phantasialand,Black Mamba,14.0
Phantasialand,Colorado Adventure,10.0
Phantasialand,Crazy Bats,15.0
Phantasialand,F.L.Y.,18.0
Phantasialand,Raik,11.0
Nickelodeon Universe,Sandy’s Blasting Bronco,-1.0
Nickelodeon Universe,TMNT Shellraiser,-1.0
Nickelodeon Universe,Nickelodeon Slime Streak,-1.0
Nickelodeon Universe,Shredder,-1.0
Nickelodeon Universe,Timmy's Half-Pipe Havoc,-1.0
Fuji-Q Highland,Zokkon / ぞっこん,19.0
Fuji-Q Highland,Eejanaika / ええじゃないか,19.0
Fuji-Q Highland,Nia and Animal Coaster / ニアとアニマルコースター,-1.0
Fuji-Q Highland,Voyage Dans Le Ciel / リサとガスパールのそらたびにっき,0.0
Fuji-Q Highland,Fujiyama / フジヤマ,19.0
Fuji-Q Highland,Takabisha / 高飛車,19.0
Energylandia,Happy Loops,-1.0
Energylandia,Circus Coaster,-1.0
Energylandia,Draken,-1.0
Energylandia,Viking Roller Coaster,-1.0
Energylandia,Formuła,-1.0
Energylandia,Zadra,2.0
Energylandia,Frida,-1.0
Energylandia,Dragon Roller Coaster,-1.0
Energylandia,Speed,-1.0
Energylandia,Hyperion,2.0
Energylandia,Honey Harbour,-1.0
Energylandia,Energuś,-1.0
Energylandia,Light Explorers,-1.0
Energylandia,Boomerang,-1.0
Energylandia,Choco Chip Creek,-1.0
Energylandia,Frutti Loop Coaster,-1.0
Energylandia,Roller Coaster Mayan,-1.0
Energylandia,Abyssus,-1.0
Energylandia,Mars,-1.0
Liseberg,Helix,16.0
Liseberg,Stampbanan,9.0
Liseberg,Lisebergbanan,9.0
Liseberg,Luna,15.0
Liseberg,Balder,14.0
Liseberg,Rabalder,10.0
Liseberg,Valkyria,14.0
Hersheypark,Cocoa Cruiser,18.0
Hersheypark,Candymonium,47.0
Hersheypark,Jolly Rancher Remix,32.0
Hersheypark,Skyrush,29.0
Hersheypark,Trailblazer,15.0
Hersheypark,Fahrenheit,44.0
Hersheypark,Laff Trakk,45.0
Hersheypark,Storm Runner,31.0
Hersheypark,Sooperdooperlooper,28.0
Hersheypark,Lightning Racer,14.0
Hersheypark,Wildcat's Revenge,33.0
Hersheypark,Great Bear,37.0
Hersheypark,Comet,36.0
Hersheypark,Wild Mouse,15.0
Holiday World,Howler,-1.0
Holiday World,Legend,-1.0
Holiday World,Thunderbird,-1.0
Holiday World,Good Gravy!,-1.0
Holiday World,Voyage,-1.0
Holiday World,Raven,-1.0
Knoebels,Kozmo's Kurves,12.0
Knoebels,Twister,12.0
Knoebels,Impulse,17.0
Knoebels,Black Diamond,10.0
Knoebels,Flying Turns,27.0
Knoebels,Phoenix,14.0
Pleasure Beach Blackpool,Blue Flyer,6.0
Pleasure Beach Blackpool,Big Dipper,20.0
Pleasure Beach Blackpool,Grand National,13.0
Pleasure Beach Blackpool,Steeplechase,15.0
Pleasure Beach Blackpool,Revolution,12.0
Pleasure Beach Blackpool,Big One,27.0
Pleasure Beach Blackpool,Icon,22.0
Pleasure Beach Blackpool,Nickelodeon Streak,17.0
Pleasure Beach Blackpool,Avalanche,20.0
Pleasure Beach Blackpool,Infusion,16.0
Warner Bros. World Abu Dhabi,Tom and Jerry Swiss Cheese Spin,-1.0
Warner Bros. World Abu Dhabi,Fast and Furry-ous,-1.0
Linnanmäki,Tulireki,-1.0
Linnanmäki,Kirnu,-1.0
Linnanmäki,Ukko,-1.0
Linnanmäki,Pikajuna,-1.0
Linnanmäki,Salama,-1.0
Linnanmäki,Taiga,-1.0
Linnanmäki,Linnunrata eXtra,-1.0
Linnanmäki,Vuoristorata,-1.0
Ferrari World Abu Dhabi,Formula Rossa,-1.0
Ferrari World Abu Dhabi,Formula Rossa Junior,-1.0
Ferrari World Abu Dhabi,Flying Aces,-1.0
Ferrari World Abu Dhabi,Mission Ferrari,-1.0
Ferrari World Abu Dhabi,Fiorano GT Challenge,-1.0
Ferrari World Abu Dhabi,Turbo Track,-1.0
Gröna Lund,Nyckelpigan,19.0
Gröna Lund,Insane,17.0
Gröna Lund,Tuff-Tuff Tåget,13.0
Gröna Lund,Twister,20.0
Gröna Lund,Monster,16.0
Gröna Lund,Kvasten,22.0
Hansa Park,Crazy Mine,-1.0
Hansa Park,Royal Scotsman,-1.0
Hansa Park,Nessie,-1.0
Hansa Park,Schwur des Kärnan,-1.0
Hansa Park,Kleine Zar,-1.0
Hansa Park,Flucht von Novgorod,-1.0
Hansa Park,Schlange von Midgard,-1.0
